details,result
"比賽模式: CLASSIC
使用英雄: Ornn (TOP)
終場表現: - 擊殺數: 0, 死亡數: 6, 助攻數: 5 - 獲得金錢: 7540 - 經驗值: 12033, 等级: 14 - 小兵擊殺數: 160, 野怪擊殺數: 0 關鍵事件:
- 在 236 秒時，(Ornn (TOP)) 被 (Skarner (TOP)) 擊殺
- 在 405 秒時，(Ornn (TOP)) 被 (Vi (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Ezreal (BOTTOM)
終場表現: - 擊殺數: 7, 死亡數: 9, 助攻數: 5 - 獲得金錢: 10613 - 經驗值: 9766, 等级: 12 - 小兵擊殺數: 151, 野怪擊殺數: 0 關鍵事件:
- 在 153 秒時，(Ezreal (BOTTOM)) 助攻 (Nami (UTILITY)) 擊殺了 (Senna (UTILITY))
- 在 269 秒時，(Ezreal (BOTTOM)) 被 (Singed (BOTTOM)) 擊殺
- 在 269 秒時，(Ezreal (BOTTOM)) 擊殺了 (Singed (BOTTOM))
- 在 478 秒時，(Ezreal (BOTTOM)) 擊殺了 (Singed (BOTTOM))
- 在 478 秒時，(Ezreal (BOTTOM)) 被 (Singed (BOTTOM)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Nami (UTILITY)
終場表現: - 擊殺數: 1, 死亡數: 5, 助攻數: 11 - 獲得金錢: 6524 - 經驗值: 9156, 等级: 12 - 小兵擊殺數: 19, 野怪擊殺數: 0 關鍵事件:
- 在 153 秒時，(Nami (UTILITY)) 擊殺了 (Senna (UTILITY))
- 在 264 秒時，(Nami (UTILITY)) 被 (Singed (BOTTOM)) 擊殺
- 在 269 秒時，(Nami (UTILITY)) 助攻 (Ezreal (BOTTOM)) 擊殺了 (Singed (BOTTOM))
- 在 478 秒時，(Nami (UTILITY)) 助攻 (Ezreal (BOTTOM)) 擊殺了 (Singed (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Skarner (TOP)
終場表現: - 擊殺數: 2, 死亡數: 8, 助攻數: 13 - 獲得金錢: 8854 - 經驗值: 13955, 等级: 15 - 小兵擊殺數: 120, 野怪擊殺數: 0 關鍵事件:
- 在 353 秒時，(Skarner (TOP)) 被 (Yorick (TOP)) 擊殺
- 在 475 秒時，(Skarner (TOP)) 被 (Yorick (TOP)) 擊殺
- 在 522 秒時，(Skarner (TOP)) 被 (Yorick (TOP)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Ekko (JUNGLE)
終場表現: - 擊殺數: 14, 死亡數: 5, 助攻數: 6 - 獲得金錢: 17843 - 經驗值: 17333, 等级: 17 - 小兵擊殺數: 62, 野怪擊殺數: 165 關鍵事件:
- 在 99 秒時，(Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
- 在 182 秒時，(Ekko (JUNGLE)) 助攻 (Soraka (UTILITY)) 擊殺了 (Volibear (JUNGLE))
- 在 345 秒時，(Ekko (JUNGLE)) 助攻 (Kaisa (BOTTOM)) 擊殺了 (Varus (BOTTOM))
- 在 351 秒時，(Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
- 在 352 秒時，(Ekko (JUNGLE)) 被 (Yuumi (UTILITY)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Soraka (UTILITY)
終場表現: - 擊殺數: 2, 死亡數: 4, 助攻數: 31 - 獲得金錢: 9692 - 經驗值: 11794, 等级: 14 - 小兵擊殺數: 24, 野怪擊殺數: 0 關鍵事件:
- 在 99 秒時，(Soraka (UTILITY)) 助攻 (Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
- 在 182 秒時，(Soraka (UTILITY)) 擊殺了 (Volibear (JUNGLE))
- 在 241 秒時，(Soraka (UTILITY)) 擊殺了 (Varus (BOTTOM))
- 在 255 秒時，(Soraka (UTILITY)) 被 (Yuumi (UTILITY)) 擊殺
- 在 345 秒時，(Soraka (UTILITY)) 助攻 (Kaisa (BOTTOM)) 擊殺了 (Varus (BOTTOM))
- 在 351 秒時，(Soraka (UTILITY)) 助攻 (Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
",Win
"比賽模式: CLASSIC
使用英雄: Kaisa (BOTTOM)
終場表現: - 擊殺數: 23, 死亡數: 5, 助攻數: 12 - 獲得金錢: 18491 - 經驗值: 14950, 等级: 16 - 小兵擊殺數: 204, 野怪擊殺數: 26 關鍵事件:
- 在 99 秒時，(Kaisa (BOTTOM)) 助攻 (Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
- 在 238 秒時，(Kaisa (BOTTOM)) 被 (Varus (BOTTOM)) 擊殺
- 在 241 秒時，(Kaisa (BOTTOM)) 助攻 (Soraka (UTILITY)) 擊殺了 (Varus (BOTTOM))
- 在 345 秒時，(Kaisa (BOTTOM)) 擊殺了 (Varus (BOTTOM))
- 在 351 秒時，(Kaisa (BOTTOM)) 助攻 (Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
",Win
"比賽模式: CLASSIC
使用英雄: Diana (MIDDLE)
終場表現: - 擊殺數: 3, 死亡數: 7, 助攻數: 15 - 獲得金錢: 10728 - 經驗值: 14579, 等级: 15 - 小兵擊殺數: 171, 野怪擊殺數: 2 關鍵事件:
- 在 99 秒時，(Diana (MIDDLE)) 助攻 (Ekko (JUNGLE)) 擊殺了 (Yuumi (UTILITY))
- 在 379 秒時，(Diana (MIDDLE)) 被 (Vex (MIDDLE)) 擊殺
- 在 471 秒時，(Diana (MIDDLE)) 被 (Vex (MIDDLE)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Yuumi (UTILITY)
終場表現: - 擊殺數: 4, 死亡數: 7, 助攻數: 14 - 獲得金錢: 9439 - 經驗值: 11230, 等级: 13 - 小兵擊殺數: 8, 野怪擊殺數: 0 關鍵事件:
- 在 99 秒時，(Yuumi (UTILITY)) 被 (Ekko (JUNGLE)) 擊殺
- 在 238 秒時，(Yuumi (UTILITY)) 助攻 (Varus (BOTTOM)) 擊殺了 (Kaisa (BOTTOM))
- 在 255 秒時，(Yuumi (UTILITY)) 擊殺了 (Soraka (UTILITY))
- 在 351 秒時，(Yuumi (UTILITY)) 被 (Ekko (JUNGLE)) 擊殺
- 在 352 秒時，(Yuumi (UTILITY)) 擊殺了 (Ekko (JUNGLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Volibear (JUNGLE)
終場表現: - 擊殺數: 2, 死亡數: 10, 助攻數: 11 - 獲得金錢: 10073 - 經驗值: 13534, 等级: 15 - 小兵擊殺數: 32, 野怪擊殺數: 123 關鍵事件:
- 在 182 秒時，(Volibear (JUNGLE)) 被 (Soraka (UTILITY)) 擊殺
- 在 353 秒時，(Volibear (JUNGLE)) 助攻 (Yorick (TOP)) 擊殺了 (Skarner (TOP))
- 在 471 秒時，(Volibear (JUNGLE)) 助攻 (Vex (MIDDLE)) 擊殺了 (Diana (MIDDLE))
- 在 522 秒時，(Volibear (JUNGLE)) 助攻 (Yorick (TOP)) 擊殺了 (Skarner (TOP))
",Lose
"比賽模式: CLASSIC
使用英雄: Vex (MIDDLE)
終場表現: - 擊殺數: 7, 死亡數: 9, 助攻數: 7 - 獲得金錢: 11023 - 經驗值: 12741, 等级: 14 - 小兵擊殺數: 171, 野怪擊殺數: 0 關鍵事件:
- 在 379 秒時，(Vex (MIDDLE)) 擊殺了 (Diana (MIDDLE))
- 在 471 秒時，(Vex (MIDDLE)) 擊殺了 (Diana (MIDDLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Varus (BOTTOM)
終場表現: - 擊殺數: 7, 死亡數: 10, 助攻數: 9 - 獲得金錢: 13012 - 經驗值: 11275, 等级: 13 - 小兵擊殺數: 176, 野怪擊殺數: 0 關鍵事件:
- 在 238 秒時，(Varus (BOTTOM)) 擊殺了 (Kaisa (BOTTOM))
- 在 241 秒時，(Varus (BOTTOM)) 被 (Soraka (UTILITY)) 擊殺
- 在 255 秒時，(Varus (BOTTOM)) 助攻 (Yuumi (UTILITY)) 擊殺了 (Soraka (UTILITY))
- 在 345 秒時，(Varus (BOTTOM)) 被 (Kaisa (BOTTOM)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Yorick (TOP)
終場表現: - 擊殺數: 9, 死亡數: 8, 助攻數: 3 - 獲得金錢: 17157 - 經驗值: 16675, 等级: 17 - 小兵擊殺數: 230, 野怪擊殺數: 8 關鍵事件:
- 在 353 秒時，(Yorick (TOP)) 擊殺了 (Skarner (TOP))
- 在 475 秒時，(Yorick (TOP)) 擊殺了 (Skarner (TOP))
- 在 522 秒時，(Yorick (TOP)) 擊殺了 (Skarner (TOP))
- 在 533 秒時，(Yorick (TOP)) 擊毀了一座TOWER_BUILDING
",Lose
"比賽模式: CLASSIC
使用英雄: Ivern (JUNGLE)
終場表現: - 擊殺數: 1, 死亡數: 1, 助攻數: 21 - 獲得金錢: 9425 - 經驗值: 12778, 等级: 14 - 小兵擊殺數: 10, 野怪擊殺數: 114 關鍵事件:
- 在 142 秒時，(Ivern (JUNGLE)) 助攻 (MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 231 秒時，(Ivern (JUNGLE)) 助攻 (MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 382 秒時，(Ivern (JUNGLE)) 助攻 (MasterYi (MIDDLE)) 擊殺了 (Orianna (MIDDLE))
- 在 503 秒時，(Ivern (JUNGLE)) 助攻 (MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 507 秒時，(Ivern (JUNGLE)) 助攻 (MasterYi (MIDDLE)) 擊殺了 (Orianna (MIDDLE))
",Win
"比賽模式: CLASSIC
使用英雄: Kaisa (BOTTOM)
終場表現: - 擊殺數: 21, 死亡數: 4, 助攻數: 5 - 獲得金錢: 14541 - 經驗值: 12652, 等级: 14 - 小兵擊殺數: 178, 野怪擊殺數: 22 關鍵事件:
- 在 166 秒時，(Kaisa (BOTTOM)) 被 (Ashe (BOTTOM)) 擊殺
- 在 394 秒時，(Kaisa (BOTTOM)) 擊殺了 (Blitzcrank (UTILITY))
- 在 424 秒時，(Kaisa (BOTTOM)) 擊殺了 (Ashe (BOTTOM))
- 在 436 秒時，(Kaisa (BOTTOM)) 被 (Blitzcrank (UTILITY)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: MasterYi (MIDDLE)
終場表現: - 擊殺數: 15, 死亡數: 5, 助攻數: 6 - 獲得金錢: 13555 - 經驗值: 12301, 等级: 14 - 小兵擊殺數: 130, 野怪擊殺數: 8 關鍵事件:
- 在 142 秒時，(MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 231 秒時，(MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 382 秒時，(MasterYi (MIDDLE)) 擊殺了 (Orianna (MIDDLE))
- 在 503 秒時，(MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 507 秒時，(MasterYi (MIDDLE)) 擊殺了 (Orianna (MIDDLE))
",Win
"比賽模式: CLASSIC
使用英雄: Soraka (UTILITY)
終場表現: - 擊殺數: 1, 死亡數: 5, 助攻數: 25 - 獲得金錢: 8701 - 經驗值: 10407, 等级: 13 - 小兵擊殺數: 18, 野怪擊殺數: 0 關鍵事件:
- 在 394 秒時，(Soraka (UTILITY)) 助攻 (Kaisa (BOTTOM)) 擊殺了 (Blitzcrank (UTILITY))
- 在 415 秒時，(Soraka (UTILITY)) 被 (Ashe (BOTTOM)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Skarner (TOP)
終場表現: - 擊殺數: 4, 死亡數: 2, 助攻數: 12 - 獲得金錢: 8862 - 經驗值: 13283, 等级: 15 - 小兵擊殺數: 134, 野怪擊殺數: 4 關鍵事件:
- 在 142 秒時，(Skarner (TOP)) 助攻 (MasterYi (MIDDLE)) 擊殺了 (Kayn (JUNGLE))
- 在 428 秒時，(Skarner (TOP)) 被 (Nasus (TOP)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Nasus (TOP)
終場表現: - 擊殺數: 3, 死亡數: 6, 助攻數: 1 - 獲得金錢: 10899 - 經驗值: 12480, 等级: 14 - 小兵擊殺數: 192, 野怪擊殺數: 0 關鍵事件:
- 在 428 秒時，(Nasus (TOP)) 擊殺了 (Skarner (TOP))
",Lose
"比賽模式: CLASSIC
使用英雄: Kayn (JUNGLE)
終場表現: - 擊殺數: 1, 死亡數: 10, 助攻數: 5 - 獲得金錢: 8083 - 經驗值: 8883, 等级: 12 - 小兵擊殺數: 49, 野怪擊殺數: 80 關鍵事件:
- 在 142 秒時，(Kayn (JUNGLE)) 被 (MasterYi (MIDDLE)) 擊殺
- 在 231 秒時，(Kayn (JUNGLE)) 被 (MasterYi (MIDDLE)) 擊殺
- 在 428 秒時，(Kayn (JUNGLE)) 助攻 (Nasus (TOP)) 擊殺了 (Skarner (TOP))
- 在 503 秒時，(Kayn (JUNGLE)) 被 (MasterYi (MIDDLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Orianna (MIDDLE)
終場表現: - 擊殺數: 7, 死亡數: 10, 助攻數: 0 - 獲得金錢: 10971 - 經驗值: 10556, 等级: 13 - 小兵擊殺數: 147, 野怪擊殺數: 0 關鍵事件:
- 在 382 秒時，(Orianna (MIDDLE)) 被 (MasterYi (MIDDLE)) 擊殺
- 在 507 秒時，(Orianna (MIDDLE)) 被 (MasterYi (MIDDLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Ashe (BOTTOM)
終場表現: - 擊殺數: 2, 死亡數: 6, 助攻數: 4 - 獲得金錢: 7961 - 經驗值: 8481, 等级: 11 - 小兵擊殺數: 144, 野怪擊殺數: 4 關鍵事件:
- 在 166 秒時，(Ashe (BOTTOM)) 擊殺了 (Kaisa (BOTTOM))
- 在 415 秒時，(Ashe (BOTTOM)) 擊殺了 (Soraka (UTILITY))
- 在 424 秒時，(Ashe (BOTTOM)) 被 (Kaisa (BOTTOM)) 擊殺
- 在 436 秒時，(Ashe (BOTTOM)) 助攻 (Blitzcrank (UTILITY)) 擊殺了 (Kaisa (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Blitzcrank (UTILITY)
終場表現: - 擊殺數: 3, 死亡數: 10, 助攻數: 5 - 獲得金錢: 6832 - 經驗值: 7033, 等级: 10 - 小兵擊殺數: 26, 野怪擊殺數: 0 關鍵事件:
- 在 166 秒時，(Blitzcrank (UTILITY)) 助攻 (Ashe (BOTTOM)) 擊殺了 (Kaisa (BOTTOM))
- 在 394 秒時，(Blitzcrank (UTILITY)) 被 (Kaisa (BOTTOM)) 擊殺
- 在 436 秒時，(Blitzcrank (UTILITY)) 擊殺了 (Kaisa (BOTTOM))
",Lose
"比賽模式: CLASSIC
使用英雄: Garen (TOP)
終場表現: - 擊殺數: 8, 死亡數: 1, 助攻數: 0 - 獲得金錢: 8602 - 經驗值: 9285, 等级: 12 - 小兵擊殺數: 135, 野怪擊殺數: 4 關鍵事件:
- 在 59 秒時，(Garen (TOP)) 被 (Ashe (BOTTOM)) 擊殺
- 在 193 秒時，(Garen (TOP)) 擊殺了 (Amumu (TOP))
- 在 273 秒時，(Garen (TOP)) 擊殺了 (Amumu (TOP))
- 在 347 秒時，(Garen (TOP)) 擊殺了 (Amumu (TOP))
- 在 402 秒時，(Garen (TOP)) 擊殺了 (Amumu (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: LeeSin (JUNGLE)
終場表現: - 擊殺數: 8, 死亡數: 1, 助攻數: 4 - 獲得金錢: 7099 - 經驗值: 6575, 等级: 10 - 小兵擊殺數: 2, 野怪擊殺數: 91 關鍵事件:
- 在 50 秒時，(LeeSin (JUNGLE)) 被 (Amumu (TOP)) 擊殺
- 在 240 秒時，(LeeSin (JUNGLE)) 擊殺了 (Yone (MIDDLE))
- 在 249 秒時，(LeeSin (JUNGLE)) 擊殺了 (Karthus (JUNGLE))
- 在 336 秒時，(LeeSin (JUNGLE)) 助攻 (Ahri (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
- 在 427 秒時，(LeeSin (JUNGLE)) 擊殺了 (Karthus (JUNGLE))
- 在 510 秒時，(LeeSin (JUNGLE)) 擊殺了 (Amumu (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: Ahri (MIDDLE)
終場表現: - 擊殺數: 2, 死亡數: 1, 助攻數: 8 - 獲得金錢: 6559 - 經驗值: 7783, 等级: 11 - 小兵擊殺數: 110, 野怪擊殺數: 0 關鍵事件:
- 在 240 秒時，(Ahri (MIDDLE)) 助攻 (LeeSin (JUNGLE)) 擊殺了 (Yone (MIDDLE))
- 在 249 秒時，(Ahri (MIDDLE)) 助攻 (LeeSin (JUNGLE)) 擊殺了 (Karthus (JUNGLE))
- 在 336 秒時，(Ahri (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
- 在 510 秒時，(Ahri (MIDDLE)) 助攻 (LeeSin (JUNGLE)) 擊殺了 (Amumu (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: Caitlyn (BOTTOM)
終場表現: - 擊殺數: 4, 死亡數: 3, 助攻數: 6 - 獲得金錢: 7216 - 經驗值: 5555, 等级: 9 - 小兵擊殺數: 99, 野怪擊殺數: 0 關鍵事件:
- 在 442 秒時，(Caitlyn (BOTTOM)) 擊殺了 (Ashe (BOTTOM))
- 在 470 秒時，(Caitlyn (BOTTOM)) 擊殺了 (Karthus (JUNGLE))
- 在 488 秒時，(Caitlyn (BOTTOM)) 助攻 (Lux (UTILITY)) 擊殺了 (Shaco (UTILITY))
",Win
"比賽模式: CLASSIC
使用英雄: Lux (UTILITY)
終場表現: - 擊殺數: 6, 死亡數: 4, 助攻數: 3 - 獲得金錢: 6025 - 經驗值: 5197, 等级: 9 - 小兵擊殺數: 25, 野怪擊殺數: 0 關鍵事件:
- 在 336 秒時，(Lux (UTILITY)) 助攻 (Ahri (MIDDLE)) 擊殺了 (Karthus (JUNGLE))
- 在 442 秒時，(Lux (UTILITY)) 助攻 (Caitlyn (BOTTOM)) 擊殺了 (Ashe (BOTTOM))
- 在 470 秒時，(Lux (UTILITY)) 助攻 (Caitlyn (BOTTOM)) 擊殺了 (Karthus (JUNGLE))
- 在 488 秒時，(Lux (UTILITY)) 擊殺了 (Shaco (UTILITY))
- 在 515 秒時，(Lux (UTILITY)) 被 (Yone (MIDDLE)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Amumu (TOP)
終場表現: - 擊殺數: 2, 死亡數: 9, 助攻數: 1 - 獲得金錢: 4511 - 經驗值: 5158, 等级: 9 - 小兵擊殺數: 64, 野怪擊殺數: 3 關鍵事件:
- 在 50 秒時，(Amumu (TOP)) 擊殺了 (LeeSin (JUNGLE))
- 在 59 秒時，(Amumu (TOP)) 助攻 (Ashe (BOTTOM)) 擊殺了 (Garen (TOP))
- 在 193 秒時，(Amumu (TOP)) 被 (Garen (TOP)) 擊殺
- 在 273 秒時，(Amumu (TOP)) 被 (Garen (TOP)) 擊殺
- 在 347 秒時，(Amumu (TOP)) 被 (Garen (TOP)) 擊殺
- 在 402 秒時，(Amumu (TOP)) 被 (Garen (TOP)) 擊殺
- 在 510 秒時，(Amumu (TOP)) 被 (LeeSin (JUNGLE)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Karthus (JUNGLE)
終場表現: - 擊殺數: 0, 死亡數: 6, 助攻數: 7 - 獲得金錢: 5209 - 經驗值: 5560, 等级: 9 - 小兵擊殺數: 13, 野怪擊殺數: 81 關鍵事件:
- 在 50 秒時，(Karthus (JUNGLE)) 助攻 (Amumu (TOP)) 擊殺了 (LeeSin (JUNGLE))
- 在 59 秒時，(Karthus (JUNGLE)) 助攻 (Ashe (BOTTOM)) 擊殺了 (Garen (TOP))
- 在 249 秒時，(Karthus (JUNGLE)) 被 (LeeSin (JUNGLE)) 擊殺
- 在 336 秒時，(Karthus (JUNGLE)) 被 (Ahri (MIDDLE)) 擊殺
- 在 427 秒時，(Karthus (JUNGLE)) 被 (LeeSin (JUNGLE)) 擊殺
- 在 470 秒時，(Karthus (JUNGLE)) 被 (Caitlyn (BOTTOM)) 擊殺
- 在 515 秒時，(Karthus (JUNGLE)) 助攻 (Yone (MIDDLE)) 擊殺了 (Lux (UTILITY))
",Lose
"比賽模式: CLASSIC
使用英雄: Shaco (UTILITY)
終場表現: - 擊殺數: 0, 死亡數: 4, 助攻數: 2 - 獲得金錢: 3878 - 經驗值: 3968, 等级: 7 - 小兵擊殺數: 18, 野怪擊殺數: 0 關鍵事件:
- 在 488 秒時，(Shaco (UTILITY)) 被 (Lux (UTILITY)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Ashe (BOTTOM)
終場表現: - 擊殺數: 5, 死亡數: 5, 助攻數: 1 - 獲得金錢: 5948 - 經驗值: 5023, 等级: 8 - 小兵擊殺數: 103, 野怪擊殺數: 0 關鍵事件:
- 在 59 秒時，(Ashe (BOTTOM)) 擊殺了 (Garen (TOP))
- 在 442 秒時，(Ashe (BOTTOM)) 被 (Caitlyn (BOTTOM)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Yone (MIDDLE)
終場表現: - 擊殺數: 3, 死亡數: 4, 助攻數: 2 - 獲得金錢: 5604 - 經驗值: 6688, 等级: 10 - 小兵擊殺數: 103, 野怪擊殺數: 0 關鍵事件:
- 在 50 秒時，(Yone (MIDDLE)) 助攻 (Amumu (TOP)) 擊殺了 (LeeSin (JUNGLE))
- 在 59 秒時，(Yone (MIDDLE)) 助攻 (Ashe (BOTTOM)) 擊殺了 (Garen (TOP))
- 在 240 秒時，(Yone (MIDDLE)) 被 (LeeSin (JUNGLE)) 擊殺
- 在 515 秒時，(Yone (MIDDLE)) 擊殺了 (Lux (UTILITY))
",Lose
"比賽模式: CLASSIC
使用英雄: Gnar (TOP)
終場表現: - 擊殺數: 7, 死亡數: 10, 助攻數: 13 - 獲得金錢: 14398 - 經驗值: 18201, 等级: 17 - 小兵擊殺數: 193, 野怪擊殺數: 4 關鍵事件:
- 在 92 秒時，(Gnar (TOP)) 擊殺了 (Skarner (TOP))
- 在 250 秒時，(Gnar (TOP)) 被 (Skarner (TOP)) 擊殺
- 在 266 秒時，(Gnar (TOP)) 助攻 (Zac (JUNGLE)) 擊殺了 (Skarner (TOP))
- 在 359 秒時，(Gnar (TOP)) 被 (Skarner (TOP)) 擊殺
",Lose
"比賽模式: CLASSIC
使用英雄: Zac (JUNGLE)
終場表現: - 擊殺數: 11, 死亡數: 6, 助攻數: 21 - 獲得金錢: 16673 - 經驗值: 18718, 等级: 18 - 小兵擊殺數: 83, 野怪擊殺數: 121 關鍵事件:
- 在 266 秒時，(Zac (JUNGLE)) 擊殺了 (Skarner (TOP))
- 在 377 秒時，(Zac (JUNGLE)) 擊殺了 (TwistedFate (MIDDLE))
- 在 381 秒時，(Zac (JUNGLE)) 擊殺了 (Nidalee (JUNGLE))
- 在 454 秒時，(Zac (JUNGLE)) 擊殺了 (TwistedFate (MIDDLE))
- 在 499 秒時，(Zac (JUNGLE)) 助攻 (Orianna (MIDDLE)) 擊殺了 (Varus (BOTTOM))
- 在 529 秒時，(Zac (JUNGLE)) 助攻 (Tristana (BOTTOM)) 擊殺了 (TwistedFate (MIDDLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Tristana (BOTTOM)
終場表現: - 擊殺數: 17, 死亡數: 8, 助攻數: 7 - 獲得金錢: 17861 - 經驗值: 18197, 等级: 17 - 小兵擊殺數: 209, 野怪擊殺數: 24 關鍵事件:
- 在 475 秒時，(Tristana (BOTTOM)) 被 (Veigar (UTILITY)) 擊殺
- 在 529 秒時，(Tristana (BOTTOM)) 擊殺了 (TwistedFate (MIDDLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Orianna (MIDDLE)
終場表現: - 擊殺數: 16, 死亡數: 13, 助攻數: 21 - 獲得金錢: 18351 - 經驗值: 20056, 等级: 18 - 小兵擊殺數: 260, 野怪擊殺數: 4 關鍵事件:
- 在 191 秒時，(Orianna (MIDDLE)) 被 (Nidalee (JUNGLE)) 擊殺
- 在 377 秒時，(Orianna (MIDDLE)) 助攻 (Zac (JUNGLE)) 擊殺了 (TwistedFate (MIDDLE))
- 在 381 秒時，(Orianna (MIDDLE)) 助攻 (Zac (JUNGLE)) 擊殺了 (Nidalee (JUNGLE))
- 在 410 秒時，(Orianna (MIDDLE)) 被 (TwistedFate (MIDDLE)) 擊殺
- 在 454 秒時，(Orianna (MIDDLE)) 助攻 (Zac (JUNGLE)) 擊殺了 (TwistedFate (MIDDLE))
- 在 499 秒時，(Orianna (MIDDLE)) 擊殺了 (Varus (BOTTOM))
- 在 529 秒時，(Orianna (MIDDLE)) 助攻 (Tristana (BOTTOM)) 擊殺了 (TwistedFate (MIDDLE))
",Lose
"比賽模式: CLASSIC
使用英雄: Yuumi (UTILITY)
終場表現: - 擊殺數: 2, 死亡數: 2, 助攻數: 31 - 獲得金錢: 11089 - 經驗值: 17123, 等级: 17 - 小兵擊殺數: 20, 野怪擊殺數: 0 關鍵事件:
",Lose
"比賽模式: CLASSIC
使用英雄: Skarner (TOP)
終場表現: - 擊殺數: 9, 死亡數: 10, 助攻數: 14 - 獲得金錢: 16640 - 經驗值: 19827, 等级: 18 - 小兵擊殺數: 216, 野怪擊殺數: 0 關鍵事件:
- 在 92 秒時，(Skarner (TOP)) 被 (Gnar (TOP)) 擊殺
- 在 250 秒時，(Skarner (TOP)) 擊殺了 (Gnar (TOP))
- 在 266 秒時，(Skarner (TOP)) 被 (Zac (JUNGLE)) 擊殺
- 在 359 秒時，(Skarner (TOP)) 擊殺了 (Gnar (TOP))
",Win
"比賽模式: CLASSIC
使用英雄: Nidalee (JUNGLE)
終場表現: - 擊殺數: 13, 死亡數: 7, 助攻數: 9 - 獲得金錢: 17883 - 經驗值: 18895, 等级: 18 - 小兵擊殺數: 29, 野怪擊殺數: 216 關鍵事件:
- 在 191 秒時，(Nidalee (JUNGLE)) 擊殺了 (Orianna (MIDDLE))
- 在 381 秒時，(Nidalee (JUNGLE)) 被 (Zac (JUNGLE)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: Veigar (UTILITY)
終場表現: - 擊殺數: 4, 死亡數: 15, 助攻數: 7 - 獲得金錢: 12597 - 經驗值: 15773, 等级: 16 - 小兵擊殺數: 114, 野怪擊殺數: 12 關鍵事件:
- 在 475 秒時，(Veigar (UTILITY)) 擊殺了 (Tristana (BOTTOM))
",Win
"比賽模式: CLASSIC
使用英雄: Varus (BOTTOM)
終場表現: - 擊殺數: 8, 死亡數: 10, 助攻數: 12 - 獲得金錢: 18577 - 經驗值: 16802, 等级: 17 - 小兵擊殺數: 224, 野怪擊殺數: 12 關鍵事件:
- 在 475 秒時，(Varus (BOTTOM)) 助攻 (Veigar (UTILITY)) 擊殺了 (Tristana (BOTTOM))
- 在 499 秒時，(Varus (BOTTOM)) 被 (Orianna (MIDDLE)) 擊殺
",Win
"比賽模式: CLASSIC
使用英雄: TwistedFate (MIDDLE)
終場表現: - 擊殺數: 5, 死亡數: 12, 助攻數: 19 - 獲得金錢: 14983 - 經驗值: 20722, 等级: 18 - 小兵擊殺數: 201, 野怪擊殺數: 12 關鍵事件:
- 在 191 秒時，(TwistedFate (MIDDLE)) 助攻 (Nidalee (JUNGLE)) 擊殺了 (Orianna (MIDDLE))
- 在 377 秒時，(TwistedFate (MIDDLE)) 被 (Zac (JUNGLE)) 擊殺
- 在 410 秒時，(TwistedFate (MIDDLE)) 擊殺了 (Orianna (MIDDLE))
- 在 454 秒時，(TwistedFate (MIDDLE)) 被 (Zac (JUNGLE)) 擊殺
- 在 529 秒時，(TwistedFate (MIDDLE)) 被 (Tristana (BOTTOM)) 擊殺
",Win
